,Region,County
0,1,Anderson
1,1,Bowie
2,1,Camp
3,1,Cass
4,1,Cherokee
5,1,Collin
6,1,Cooke
7,1,Dallas
8,1,Delta
9,1,Denton
10,1,Ellis
11,1,Erath
12,1,Fannin
13,1,Franklin
14,1,Grayson
15,1,Gregg
16,1,Harrison
17,1,Henderson
18,1,Hood
19,1,Hopkins
20,1,Hunt
21,1,Johnson
22,1,Kaufman
23,1,Lamar
24,1,Marion
25,1,Morris
26,1,Navarro
27,1,Palo Pinto
28,1,Panola
29,1,Parker
30,1,Rains
31,1,Red River
32,1,Rockwall
33,1,Rusk
34,1,Smith
35,1,Somervell
36,1,Tarrant
37,1,Titus
38,1,Upshur
39,1,Van Zandt
40,1,Wise
41,1,Wood
42,2,Angelina
43,2,Austin
44,2,Brazoria
45,2,Brazos
46,2,Burleson
47,2,Chambers
48,2,Colorado
49,2,Fort Bend
50,2,Galveston
51,2,Grimes
52,2,Hardin
53,2,Harris
54,2,Houston
55,2,Jasper
56,2,Jefferson
57,2,Leon
58,2,Liberty
59,2,Madison
60,2,Matagorda
61,2,Montgomery
62,2,Nacogdoches
63,2,Newton
64,2,Orange
65,2,Polk
66,2,Robertson
67,2,Sabine
68,2,San Augustine
69,2,San Jacinto
70,2,Shelby
71,2,Trinity
72,2,Tyler
73,2,Walker
74,2,Waller
75,2,Washington
76,2,Wharton
77,3,Aransas
78,3,Bee
79,3,Brooks
80,3,Cameron
81,3,Dimmit
82,3,Duval
83,3,Edwards
84,3,Hidalgo
85,3,Jim Hogg
86,3,Jim Wells
87,3,Kenedy
88,3,Kinney
89,3,Kleberg
90,3,La Salle
91,3,Live Oak
92,3,Maverick
93,3,Nueces
94,3,Real
95,3,Refugio
96,3,San Patricio
97,3,Starr
98,3,Uvalde
99,3,Webb
100,3,Willacy
101,3,Val Verde
102,3,Zapata
103,3,Zavala
104,4,Andrews
105,4,Borden
106,4,Brewster
107,4,Coke
108,4,Concho
109,4,Crane
110,4,Crockett
111,4,Culberson
112,4,Dawson
113,4,Ector
114,4,El Paso
115,4,Gaines
116,4,Glasscock
117,4,Howard
118,4,Hudspeth
119,4,Irion
120,4,Jeff Davis
121,4,Kimble
122,4,Loving
123,4,Mason
124,4,Martin
125,4,McCulloch
126,4,Menard
127,4,Midland
128,4,Pecos
129,4,Presidio
130,4,Reagan
131,4,Reeves
132,4,Schleicher
133,4,Sterling
134,4,Sutton
135,4,Terrell
136,4,Tom Green
137,4,Upton
138,4,Ward
139,4,Winkler
140,5,Archer
141,5,Armstrong
142,5,Bailey
143,5,Baylor
144,5,Briscoe
145,5,Brown
146,5,Callahan
147,5,Carson
148,5,Castro
149,5,Childress
150,5,Clay
151,5,Cochran
152,5,Coleman
153,5,Collingsworth
154,5,Comanche
155,5,Cottle
156,5,Crosby
157,5,Dallam
158,5,Deaf Smith
159,5,Dickens
160,5,Donley
161,5,Eastland
162,5,Fisher
163,5,Floyd
164,5,Foard
165,5,Garza
166,5,Gray
167,5,Hale
168,5,Hall
169,5,Hansford
170,5,Hardeman
171,5,Hartley
172,5,Haskell
173,5,Hemphill
174,5,Hockley
175,5,Hutchinson
176,5,Jack
177,5,Jones
178,5,Kent
179,5,King
180,5,Knox
181,5,Lamb
182,5,Lipscomb
183,5,Lubbock
184,5,Lynn
185,5,Mitchell
186,5,Montague
187,5,Moore
188,5,Motley
189,5,Nolan
190,5,Ochiltree
191,5,Oldham
192,5,Parmer
193,5,Potter
194,5,Randall
195,5,Roberts
196,5,Runnels
197,5,Scurry
198,5,Shackelford
199,5,Sherman
200,5,Stephens
201,5,Stonewall
202,5,Swisher
203,5,Taylor
204,5,Terry
205,5,Throckmorton
206,5,Wheeler
207,5,Wichita
208,5,Wilbarger
209,5,Yoakum
210,5,Young
211,6,Atascosa
212,6,Bandera
213,6,Bastrop
214,6,Bell
215,6,Bexar
216,6,Blanco
217,6,Bosque
218,6,Burnet
219,6,Caldwell
220,6,Calhoun
221,6,Comal
222,6,Coryell
223,6,DeWitt
224,6,Falls
225,6,Fayette
226,6,Freestone
227,6,Frio
228,6,Gillespie
229,6,Goliad
230,6,Gonzales
231,6,Guadalupe
232,6,Hamilton
233,6,Hays
234,6,Hill
235,6,Jackson
236,6,Karnes
237,6,Kendall
238,6,Kerr
239,6,Lampasas
240,6,Lavaca
241,6,Lee
242,6,Limestone
243,6,Llano
244,6,McLennan
245,6,McMullen
246,6,Medina
247,6,Milam
248,6,Mills
249,6,San Saba
250,6,Travis
251,6,Victoria
252,6,Williamson
253,6,Wilson
