fid,county,total_disasters,total_flood,total_fire,total_tornado,total_hurricane,total_coastal_storm,total_drought,total_freezing
195,McCulloch,13,1,4,0,3,0,0,2
196,Crockett,11,0,4,0,3,0,0,2
197,Hill,16,1,4,0,4,0,0,2
198,Kent,12,0,4,0,3,0,0,2
199,El Paso,13,0,2,0,5,0,0,2
200,Loving,9,0,2,0,3,0,0,2
201,Dickens,12,0,3,0,3,0,0,2
202,La Salle,14,1,4,0,4,1,0,2
203,Lamb,12,0,3,0,4,0,0,2
204,Austin,16,2,2,0,7,0,0,2
205,Hutchinson,13,0,6,0,3,0,0,2
206,Val Verde,12,1,3,0,4,0,0,2
207,Smith,23,1,4,0,8,1,0,3
208,Robertson,11,0,2,0,4,0,0,2
209,Gillespie,11,1,2,0,3,0,0,2
210,King,13,0,5,0,3,0,0,2
211,Tom Green,14,0,4,0,5,0,0,2
212,Yoakum,9,0,2,0,3,0,0,2
218,Bee,18,1,2,0,10,0,0,2
219,Trinity,18,1,2,0,7,1,0,2
227,Lavaca,11,0,1,0,6,0,0,2
1,Menard,13,1,4,0,3,0,0,2
8,Fannin,13,1,2,0,3,0,0,3
14,Brazos,13,1,2,0,6,0,0,2
15,Jefferson,19,1,2,0,9,1,0,2
16,Bell,14,0,4,0,4,0,0,2
2,Hale,9,0,2,0,3,0,0,2
9,Kerr,11,1,3,0,3,0,0,2
10,Refugio,20,0,2,0,12,0,0,2
11,Jim Hogg,18,0,4,0,9,0,0,2
12,Dimmit,13,2,3,0,4,0,0,2
13,Nolan,15,1,6,0,3,0,0,2
3,Armstrong,11,0,3,0,3,0,0,3
4,Calhoun,20,1,2,0,13,0,0,2
5,Clay,14,0,6,0,3,0,0,2
6,Orange,22,2,3,0,9,1,0,2
7,Gonzales,14,1,3,0,4,0,0,2
17,Bandera,11,2,2,0,3,0,0,2
18,Hidalgo,22,3,2,0,10,0,0,2
19,Schleicher,10,1,2,0,3,0,0,2
20,Grayson,15,0,3,0,4,0,0,3
26,DeWitt,14,1,1,0,7,0,0,2
27,Angelina,16,1,1,0,7,1,0,2
28,McLennan,16,0,2,0,5,0,0,2
29,Lamar,15,1,3,0,4,0,0,3
30,Leon,18,1,4,0,5,1,0,2
